Year,Month,Commune,Visitors' country of residence - total Arrivals,Visitors' country of residence - total Overnight stays,Switzerland Arrivals,Switzerland Overnight stays,Germany Arrivals,Germany Overnight stays,France Arrivals,France Overnight stays,Italy Arrivals,Italy Overnight stays,Austria Arrivals,Austria Overnight stays,United Kingdom Arrivals,United Kingdom Overnight stays,Irland Arrivals,Irland Overnight stays,Netherlands Arrivals,Netherlands Overnight stays,Belgium Arrivals,Belgium Overnight stays,Luxembourg Arrivals,Luxembourg Overnight stays,Denmark Arrivals,Denmark Overnight stays,Sweden Arrivals,Sweden Overnight stays,Norway Arrivals,Norway Overnight stays,Finland Arrivals,Finland Overnight stays,Spain Arrivals,Spain Overnight stays,Portugal Arrivals,Portugal Overnight stays,Greece Arrivals,Greece Overnight stays,Turkey Arrivals,Turkey Overnight stays,Other European countries Arrivals,Other European countries Overnight stays,Liechtenstein Arrivals,Liechtenstein Overnight stays,Iceland Arrivals,Iceland Overnight stays,Poland Arrivals,Poland Overnight stays,Hungary Arrivals,Hungary Overnight stays,Belarus Arrivals,Belarus Overnight stays,Bulgaria Arrivals,Bulgaria Overnight stays,Malta Arrivals,Malta Overnight stays,Cyprus Arrivals,Cyprus Overnight stays,Chile Arrivals,Chile Overnight stays,United States Arrivals,United States Overnight stays,Canada Arrivals,Canada Overnight stays,Mexico Arrivals,Mexico Overnight stays,Brazil Arrivals,Brazil Overnight stays,Argentina Arrivals,Argentina Overnight stays,Other South American countries Arrivals,Other South American countries Overnight stays,Other Central American countries Arrivals,Other Central American countries Overnight stays,Egypt Arrivals,Egypt Overnight stays,Other North African countries Arrivals,Other North African countries Overnight stays,South Africa Arrivals,South Africa Overnight stays,Other African countries Arrivals,Other African countries Overnight stays,Bahrain Arrivals,Bahrain Overnight stays,Israel Arrivals,Israel Overnight stays,India Arrivals,India Overnight stays,Japan Arrivals,Japan Overnight stays,Other South-East Asian countries Arrivals,Other South-East Asian countries Overnight stays,Qatar Arrivals,Qatar Overnight stays,Kuwait Arrivals,Kuwait Overnight stays,Australia Arrivals,Australia Overnight stays,China Arrivals,China Overnight stays,Hong Kong Arrivals,Hong Kong Overnight stays,Indonesia Arrivals,Indonesia Overnight stays,South Korea Arrivals,South Korea Overnight stays,Malaysia Arrivals,Malaysia Overnight stays,Philippines Arrivals,Philippines Overnight stays,"New Zealand, Oceania Arrivals","New Zealand, Oceania Overnight stays",Singapore Arrivals,Singapore Overnight stays,Oman Arrivals,Oman Overnight stays,Taiwan (Chinese Taipei) Arrivals,Taiwan (Chinese Taipei) Overnight stays,Thailand Arrivals,Thailand Overnight stays,Other West Asian countries Arrivals,Other West Asian countries Overnight stays,Estonia Arrivals,Estonia Overnight stays,Latvia Arrivals,Latvia Overnight stays,Lithuania Arrivals,Lithuania Overnight stays,Saudi Arabia Arrivals,Saudi Arabia Overnight stays,United Arab Emirates Arrivals,United Arab Emirates Overnight stays,Croatia Arrivals,Croatia Overnight stays,Romania Arrivals,Romania Overnight stays,Russia Arrivals,Russia Overnight stays,Slovakia Arrivals,Slovakia Overnight stays,Slovenia Arrivals,Slovenia Overnight stays,Czechia Arrivals,Czechia Overnight stays,Ukraine Arrivals,Ukraine Overnight stays,Serbien Arrivals,Serbien Overnight stays
2023,January,Kloten,20443,31007,7330,11716,1922,2655,527,909,451,799,249,359,1222,1724,138,176,253,343,136,192,29,36,117,161,271,347,71,89,65,107,318,498,89,136,50,84,59,134,79,110,33,59,26,36,143,198,33,46,11,12,24,61,36,42,41,54,8,8,2765,3873,295,385,70,77,137,171,10,11,41,56,83,111,27,32,14,48,55,70,69,102,0,1,152,237,351,679,243,393,56,74,11,16,1,1,435,566,241,289,74,102,125,187,262,588,71,95,43,69,55,78,144,224,1,2,41,52,209,359,24,27,19,26,22,26,18,22,56,112,87,161,31,39,44,85,74,124,20,31,29,45,63,78,71,94,73,98
2023,January,Opfikon,23415,39168,8545,14580,1828,3141,410,654,199,458,596,844,1058,1906,81,129,185,311,86,196,34,48,48,64,98,157,35,46,35,56,348,552,135,254,48,105,64,109,75,218,14,16,20,32,116,243,46,69,2,2,23,43,15,22,13,24,1,1,2132,3415,165,256,53,99,311,359,12,45,44,101,51,75,21,46,30,56,47,101,97,216,0,0,56,96,217,429,62,121,388,454,693,945,2,2,227,304,74,110,112,145,702,1275,124,147,185,255,49,206,57,72,396,791,176,404,72,115,620,694,16,38,6,16,286,994,25,50,14,28,1219,1294,25,38,74,241,20,77,34,109,26,30,218,428,82,131,37,80
2023,January,D?bendorf,1605,3404,1005,2115,251,448,60,94,51,165,42,98,19,47,1,1,16,27,10,15,5,9,6,21,4,8,3,9,2,6,15,82,11,13,5,15,3,8,4,10,0,0,0,0,6,9,11,21,2,4,2,8,0,0,0,0,0,0,20,53,1,4,0,0,2,2,0,0,0,0,1,1,0,0,0,0,8,20,1,1,0,0,3,3,1,1,0,0,0,0,0,0,0,0,2,2,5,30,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,2,4,1,1,4,10,1,3,5,12,4,8,3,3,3,6,1,1
2023,January,Uster,935,3130,532,2015,167,345,30,63,46,105,17,35,2,5,0,0,13,38,9,27,0,0,0,0,6,11,1,1,1,4,4,47,7,18,2,2,12,60,1,30,6,18,0,0,10,26,8,26,0,0,0,0,0,0,3,13,0,0,19,49,1,1,1,3,3,35,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,3,52,5,14,3,10,2,4,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,2,5,1,3,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,1,2,2,2,6,38,0,0,0,0,0,0,2,8,1,1,0,0
2023,January,Winterthur,6527,13003,4186,7662,934,1870,167,359,124,255,216,516,172,399,4,21,97,253,17,73,3,8,4,7,26,51,9,9,14,39,47,117,16,32,18,40,16,28,23,28,2,2,1,6,28,90,31,67,0,0,1,1,0,0,3,4,0,0,88,201,3,6,1,2,12,23,3,3,3,5,5,17,4,10,6,6,3,12,32,94,0,0,5,5,23,95,29,156,11,54,0,0,0,0,15,31,8,12,5,10,0,0,4,6,0,0,0,0,0,0,9,86,0,0,1,1,5,12,10,13,0,0,2,2,0,0,1,3,5,8,2,6,14,54,4,10,27,37,3,8,15,52,5,12,5,14
2023,January,Z?rich,129334,236494,43370,68958,14570,26604,3441,5707,3386,6401,1746,3144,7358,13426,597,1184,1573,2970,684,1218,314,558,323,680,631,1223,288,525,256,472,2363,4379,707,1415,813,1944,1038,2009,475,861,115,151,92,146,710,1407,208,442,90,165,155,311,109,299,176,388,143,280,14265,28368,1165,2230,1778,2826,3264,7411,456,930,631,1275,568,1202,189,543,108,236,356,693,249,497,37,77,940,2165,1420,3297,543,1050,782,1475,304,838,102,298,3399,6669,1335,2367,602,1216,838,1640,942,1624,797,1439,312,846,299,660,1607,3349,79,206,493,767,965,1594,439,966,92,182,135,239,109,321,431,1196,953,2779,130,256,500,1117,696,1549,134,340,77,192,267,545,606,1268,209,489
2023,January,W?denswil,395,884,240,500,72,206,10,11,18,35,13,14,7,13,0,0,6,11,0,0,0,0,1,1,2,8,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,24,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,2,2,5,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,5,1,1,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,January,Horgen,587,831,402,503,82,132,18,32,8,10,0,0,5,14,0,0,28,61,15,22,0,0,0,0,3,5,0,0,2,6,5,9,0,2,0,0,0,0,0,0,0,0,0,0,7,10,1,1,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,6,1,2,0,0,0,0,0,0,0,0,0,0
2023,January,Langenthal,1698,2655,1325,2079,169,252,34,41,25,29,17,32,14,20,1,1,12,17,9,12,0,0,2,3,3,6,0,0,0,0,9,18,1,2,0,0,5,9,0,0,9,14,0,0,9,15,1,1,0,0,3,9,0,0,0,0,0,0,7,19,2,5,0,0,2,2,0,0,0,0,1,1,2,2,0,0,0,0,1,1,0,0,0,0,4,6,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,1,1,1,2,10,16,2,6,0,0,2,6,7,16,3,4,1,2
2023,January,Bern,32807,53766,19228,27776,2974,5460,898,1323,1122,2038,323,882,779,1596,45,100,487,942,124,274,57,90,69,163,89,167,24,47,36,68,394,798,202,340,48,72,92,175,63,108,52,54,1,12,102,237,62,92,9,16,25,89,14,19,12,13,35,84,1036,2279,163,376,184,284,541,1101,99,177,85,155,60,97,42,101,13,36,17,78,26,50,0,1,54,79,84,412,98,205,141,229,2,15,4,6,407,930,161,239,75,115,242,481,339,551,123,184,34,94,43,75,111,213,5,136,556,574,109,175,48,86,40,52,14,29,12,16,24,51,50,74,23,52,63,172,76,165,24,63,39,165,54,108,101,195,19,55
