city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Zrich,47.3744,8.5411,Switzerland,CH,Zrich,admin,447082,447082
Geneva,46.2017,6.1469,Switzerland,CH,GenÃ¨ve,admin,203840,203840
Basel,47.5547,7.5906,Switzerland,CH,Basel-Stadt,admin,173552,173552
Lausanne,46.5198,6.6335,Switzerland,CH,Vaud,admin,141418,141418
Bern,46.9481,7.4475,Switzerland,CH,Bern,primary,134506,134506
Winterthur,47.4989,8.7286,Switzerland,CH,Zrich,minor,109775,109775
Lucerne,47.05,8.3,Switzerland,CH,Luzern,admin,81691,81691
Sankt Gallen,47.4242,9.3708,Switzerland,CH,Sankt Gallen,admin,75833,75833
Biel/Bienne,47.1333,7.25,Switzerland,CH,Bern,,55159,55159
Bellinzona,46.1954,9.0297,Switzerland,CH,Ticino,admin,43785,43785
Thun,46.7667,7.6333,Switzerland,CH,Bern,minor,43734,43734
Fribourg,46.8,7.15,Switzerland,CH,Fribourg,admin,38365,38365
Uster,47.35,8.7167,Switzerland,CH,Zrich,minor,36791,36791
Schaffhausen,47.7,8.6333,Switzerland,CH,Schaffhausen,admin,36587,36587
Chur,46.85,9.5333,Switzerland,CH,Graubnden,admin,35038,35038
Vernier,46.2,6.1,Switzerland,CH,GenÃ¨ve,,34774,34774
Sion,46.2311,7.3594,Switzerland,CH,Valais,admin,34708,34708
NeuchÃ¢tel,47.0,6.9333,Switzerland,CH,NeuchÃ¢tel,admin,33475,33475
Zug,47.1681,8.5169,Switzerland,CH,Zug,admin,30542,30542
Yverdon-les-Bains,46.7785,6.6408,Switzerland,CH,Vaud,minor,30157,30157
Emmen,47.0833,8.3,Switzerland,CH,Luzern,,29292,29292
Dbendorf,47.4167,8.6167,Switzerland,CH,Zrich,,28002,28002
Rapperswil-Jona,47.2167,8.8167,Switzerland,CH,Sankt Gallen,minor,26995,26995
Dietikon,47.4,8.4,Switzerland,CH,Aargau,,26936,26936
Wetzikon,47.3167,8.8,Switzerland,CH,Zrich,,24452,24452
Meyrin,46.2167,6.0667,Switzerland,CH,GenÃ¨ve,,24144,24144
Carouge,46.1833,6.1333,Switzerland,CH,GenÃ¨ve,,22336,22336
Frauenfeld,47.55,8.9,Switzerland,CH,Thurgau,admin,22313,22313
Kreuzlingen,47.6333,9.1667,Switzerland,CH,Thurgau,minor,21801,21801
Wdenswil,47.2333,8.6667,Switzerland,CH,Zrich,,21716,21716
Aarau,47.4,8.05,Switzerland,CH,Aargau,admin,21503,21503
Riehen,47.5833,7.6333,Switzerland,CH,Basel-Stadt,,21448,21448
Allschwil,47.55,7.5333,Switzerland,CH,Basel-Landschaft,,21150,21150
